Location/Hour, 00:00, 03:00, 06:00, 09:00, 12:00, 15:00, 18:00, 21:00
Beijing, 18.2, 16.5, 15.8, 20.3, 28.6, 31.2, 27.4, 22.1
Shanghai, 22.1, 21.3, 20.8, 23.5, 29.1, 31.8, 28.6, 24.3
Guangzhou, 25.3, 24.6, 24.1, 26.8, 32.4, 34.1, 31.2, 27.5
Chengdu, 20.5, 19.2, 18.6, 21.4, 26.8, 28.5, 25.3, 22.1
Wuhan, 21.8, 20.6, 19.9, 23.1, 30.2, 32.8, 29.1, 24.6
Harbin, 15.3, 13.1, 12.4, 16.8, 24.5, 26.3, 22.8, 18.2
Lhasa, 8.6, 5.2, 3.8, 10.5, 18.2, 20.1, 15.6, 10.8
Urumqi, 16.8, 14.5, 13.2, 18.6, 26.1, 28.8, 24.2, 19.5
Sanya, 27.8, 27.1, 26.8, 28.5, 32.6, 33.4, 31.8, 29.2
Kunming, 17.5, 15.8, 14.6, 18.2, 23.4, 24.8, 21.6, 18.9
